# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1110
#@/user_id	ce5e4c4c-00c1-4d03-a928-7b726f83f7ce
an 	按	c=2 d=0.666319 t=1109
an le 	按了	c=1 d=0.467666 t=1109
an zhuang 	安装	c=2 d=0.279304 t=1109
ao wei hui 	奥委会	c=1 d=0.0507928 t=1109
ba 	把	c=9 d=0.674804 t=1109
ban kuai 	板块	c=1 d=0.442639 t=1109
ban shu 	半数	c=1 d=0.0342181 t=1109
bao fa 	爆发	c=1 d=0.282239 t=1109
bao han 	包含	c=1 d=0.0330412 t=1109
bao kuo 	包括	c=1 d=0.130029 t=1109
bao liu 	保留	c=1 d=0.427415 t=1109
bei 	被	c=2 d=0.964756 t=1109
bei yuan zi hua 	被原子化	c=1 d=0.114178 t=1109
ben shen 	本身	c=2 d=0.713178 t=1109
bi 	比	c=1 d=0.121846 t=1109
bi ru 	比如	c=2 d=0.252067 t=1109
bian ji 	编辑	c=5 d=1.98196 t=1109
biao dian 	标点	c=6 d=1.16448 t=1109
biao ge 	表格	c=1 d=0.0293049 t=1109
bing 	并	c=1 d=0.0724398 t=1109
bing du 	病毒	c=2 d=0.560262 t=1109
bu 	不	c=1 d=0.105928 t=1109
bu an 	不安	c=1 d=0.0422141 t=1109
bu bian 	不变	c=1 d=0.0528657 t=1109
bu cheng ren 	不承认	c=4 d=3.66009 t=1057
bu chu 	不出	c=1 d=0.18452 t=1109
bu gei 	不给	c=1 d=0.637628 t=1109
bu guo 	不过	c=3 d=0.475944 t=1109
bu jin jin 	不仅仅	c=1 d=0.0327124 t=1109
bu neng 	不能	c=1 d=1 t=1005
bu shi 	不是	c=3 d=1.73315 t=1109
bu shu 	部署	c=2 d=0.0314824 t=1109
bu tong 	不同	c=1 d=0.25924 t=1109
bu yong 	不用	c=3 d=0.246469 t=1109
bu zhou 	步骤	c=1 d=0.995012 t=1109
cai dan 	菜单	c=1 d=0.0356146 t=1109
cai ding 	裁定	c=1 d=0.142987 t=1109
cai neng 	才能	c=2 d=0.819283 t=1109
can jia 	参加	c=1 d=0.0500366 t=1109
can jia zhe 	参加者	c=1 d=0.137381 t=1109
cang ku 	仓库	c=1 d=0.00697795 t=1109
